County,Lignocellulose (dry tons),Kilogram,Kilogram/hr,Annual Ethanol (gal/yr),Price ($/gal),GWP (kg CO2e/gal)
Atlantic,118397,107407982.445,12772.067927725455,67.94589089034415,5.7299979017095595,2.313082587929581
Bergen,93737,85036800.345,10111.872187143264,54.2350902886945,6.035958742639121,2.335569408304493
Burlington,214810,194872409.85,23172.61342394406,122.99652940685475,5.054265585213148,2.2686785317463296
Camden,73270,66469444.949999996,7903.996022402967,42.17820446330569,6.509453188556276,2.357159992884829
Cape May,90167,81798149.895,9726.758691852168,51.57304583376933,6.166610085244275,2.3072028519231016
Cumberland,128487,116561479.095,13860.525957833903,73.1255625469647,5.662225016491618,2.297221012872296
Essex,40659,36885234.915,4386.086724101027,23.555683279126114,7.91592696422011,2.444412611267505
Gloucester,81807,74214083.295,8824.924288313356,46.435534704887004,6.386034496158231,2.3373255301367024
Hudson,4129,3745766.8649999998,445.415580408105,2.6518784393984074,26.593167842547782,3.828464796985988
Hunterdon,134938,122413729.52999999,14556.4271225742,77.39067995164203,5.556676231033442,2.2908094552088287
Mercer,119709,108598209.16499999,12913.59983411815,68.92354514378569,5.697809663173707,2.3305541972326913
Middlesex,73388,66576492.779999994,7916.725263984017,42.946631845767754,6.403597978896517,2.350917891797217
Monmouth,125283,113654858.35499999,13514.894686429792,71.11749668756441,5.710364427104491,2.2997676771024342
Morris,113251,102739608.43499999,12216.943544877282,65.1681098285253,5.77886344111728,2.332140168005019
Ocean,158073,143401454.505,17052.113596960615,89.93218732532928,5.407213543892885,2.2825357968467364
Passaic,57969,52588607.26499999,6253.401739083903,33.44088775088674,6.992368223648578,2.3860437731839093
Salem,118525,107524102.125,12785.875918593036,68.0189781818097,5.727740331061913,2.299590377578897
Somerset,50999,46265527.815,5501.513486372716,29.460663390720576,7.298025647233907,2.405265441748738
Sussex,151081,137058416.98499998,16297.852095819062,86.60816783045574,5.420403683691947,2.28613575004617
Union,36023,32679525.255,3885.9785548658674,20.907954332053443,8.29096906097708,2.469776579745575
Warren,139757,126785454.04499999,15076.276403752852,80.14228373142039,5.513377236264032,2.2909723656136673
New Jersey,2124461,1927279152.2849998,229176.0788010131,1213.3688163148322,3.890980858934114,2.2320624335485926
